Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,"Population, total",SP.POP.TOTL,93540,94483,95606,96787,97996,99212,100341,101288
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,445281555,457153837,469508516,482406426,495748900,509410477,523459657,537792950
Afghanistan,AFG,"Population, total",SP.POP.TOTL,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,301265247,309824829,318601484,327612838,336893835,346475221,356337762,366489204
Angola,AGO,"Population, total",SP.POP.TOTL,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111
Albania,ALB,"Population, total",SP.POP.TOTL,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195
Andorra,AND,"Population, total",SP.POP.TOTL,76933,79826,80221,78168,76055,73852,71519,70567
Arab World,ARB,"Population, total",SP.POP.TOTL,313249616,320558754,328703057,337498222,346630443,355754908,364427661,372351065
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,3993339,4280993,4898954,5872624,6988685,7992644,8481771,8575205
Argentina,ARG,"Population, total",SP.POP.TOTL,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490
Armenia,ARM,"Population, total",SP.POP.TOTL,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976
American Samoa,ASM,"Population, total",SP.POP.TOTL,57626,57254,56837,56383,55891,55366,54849,54310
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,78941,79869,80895,82016,83251,84534,85695,86729
Australia,AUS,"Population, total",SP.POP.TOTL,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024
Austria,AUT,"Population, total",SP.POP.TOTL,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082
Burundi,BDI,"Population, total",SP.POP.TOTL,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733
Belgium,BEL,"Population, total",SP.POP.TOTL,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264
Benin,BEN,"Population, total",SP.POP.TOTL,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651
Bangladesh,BGD,"Population, total",SP.POP.TOTL,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328
Bahrain,BHR,"Population, total",SP.POP.TOTL,833451,901921,970981,1040532,1110343,1179453,1213645,1212077
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,343089,347804,352664,357666,362795,368057,373272,377950
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142
Belarus,BLR,"Population, total",SP.POP.TOTL,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643
Belize,BLZ,"Population, total",SP.POP.TOTL,272128,280375,288729,297173,305671,314171,322106,329538
Bermuda,BMU,"Population, total",SP.POP.TOTL,63740,64154,64523,64888,65273,65636,65124,64564
Bolivia,BOL,"Population, total",SP.POP.TOTL,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246
Brazil,BRA,"Population, total",SP.POP.TOTL,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302
Barbados,BRB,"Population, total",SP.POP.TOTL,268505,269477,270425,271444,272635,273791,274711,275486
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,360461,366717,372808,378748,384568,390311,396053,401506
Bhutan,BTN,"Population, total",SP.POP.TOTL,649991,663323,673260,681614,689737,697678,705516,713331
Botswana,BWA,"Population, total",SP.POP.TOTL,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022
Canada,CAN,"Population, total",SP.POP.TOTL,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038
Switzerland,CHE,"Population, total",SP.POP.TOTL,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398
Channel Islands,CHI,"Population, total",SP.POP.TOTL,149538,150763,151985,153225,154475,155721,156933,157819
Chile,CHL,"Population, total",SP.POP.TOTL,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573
China,CHN,"Population, total",SP.POP.TOTL,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914
Cameroon,CMR,"Population, total",SP.POP.TOTL,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216
